www.ics                   count: 39360
calendar.ics              count: 832
support.ics               count: 2
duttgroup.ics             count: 3059
wildhog.ics               count: 8
vision.ics                count: 1116
ngs.ics                   count: 4
asterix.ics               count: 12
radicle.ics               count: 29
sherlock.ics              count: 49
sparcfire.ics             count: 15
cml.ics                   count: 490
map125.ics                count: 1
sli.ics                   count: 7836
graphmod.ics              count: 2455
omni.ics                  count: 1
cocoa-krispies.ics        count: 1
sconce.ics                count: 8
sprout.ics                count: 4
cbcl.ics                  count: 10864
mondego.ics               count: 17
isg.ics                   count: 244
graphics.ics              count: 159
ibook.ics                 count: 8
motifmap.ics              count: 16
students.ics              count: 7
www-db.ics                count: 101
mlearn.ics                count: 76
archive.ics               count: 2434
hombao.ics                count: 2
fr.ics                    count: 7
flamingo.ics              count: 1
psearch.ics               count: 6
DataGuard.ics             count: 636
DataProtector.ics         count: 1
